ReferenceDate,BookCode,CategoryCode,AverageRating,CountRating,idReadingFact,RankingNumber,RankingVolume
201105,9788598078946,5,0.00,0,96,9,995
201106,9788598078946,5,0.00,0,97,8,1345
201101,9788598078946,5,0.00,0,98,1,5024
201102,9788598078946,5,0.00,0,99,4,2943
201209,9788598078946,5,0.00,0,100,18,644
201103,9788598078946,5,0.00,0,101,3,3360
201104,9788598078946,5,0.00,0,102,4,1679
201107,9788598078946,5,0.00,0,103,17,496
201012,9788598078946,5,0.00,0,104,14,13454
201010,9788598078939,5,0.00,0,105,10,3098
201011,9788598078939,5,0.00,0,106,14,2428
201010,9788598078588,5,0.00,0,107,10,3195
201310,9788598078588,5,0.00,0,108,19,1688
201012,9788598078588,5,0.00,0,109,11,3922
201312,9788598078588,5,0.00,0,110,15,3781
201101,9788598078588,5,0.00,0,111,6,3379
201309,9788598078588,5,0.00,0,112,11,2032
201107,9788598078588,5,0.00,0,113,13,1433
201102,9788598078588,5,0.00,0,114,12,1489
201103,9788598078588,5,0.00,0,115,16,1415
201207,9788598078588,5,0.00,0,116,18,1397
201009,9788598078588,5,0.00,0,117,9,2467
201108,9788598078588,5,0.00,0,118,11,2337
201308,9788598078588,5,0.00,0,119,12,1982
201109,9788598078588,5,0.00,0,120,12,1731
201403,9788598078588,5,0.00,0,121,14,2491
201401,9788598078588,5,0.00,0,122,11,4270
201011,9788598078588,5,0.00,0,123,9,2360
201402,9788598078588,5,0.00,0,124,10,3010
201101,9788598078465,1,0.00,0,125,17,4306
201011,9788598078465,1,0.00,0,126,11,2693
201010,9788598078465,1,0.00,0,127,12,2521
201012,9788598078465,1,0.00,0,128,16,6259
201101,9788598078465,1,0.00,0,129,8,4306
201112,9788598078465,1,0.00,0,130,15,6087
201102,9788598078465,1,0.00,0,131,14,1746
201009,9788598078465,1,0.00,0,132,7,2386
201010,9788598078397,4,0.00,0,133,18,4569
201012,9788598078397,4,0.00,0,134,3,9037
201303,9788598078397,4,0.00,0,135,8,2001
201105,9788598078397,4,0.00,0,136,9,1195
201312,9788598078397,4,0.00,0,137,7,9360
201110,9788598078397,4,0.00,0,138,12,1464
