idSalesFact,ReferenceDate,BookCode,SalesCount,LeastPrice,MaximumPrice,AveragePrice,CategoryCode
16261,201009,9788525048950,21,14.90,52.21,24.71,2
16262,201009,9788525048400,21,14.90,52.21,24.71,2
16263,201009,9788525046086,2,24.00,29.90,26.50,2
16264,201009,9788522009770,5,20.00,9.98,20.20,2
16265,201009,9788522009770,5,20.00,9.98,20.20,2
16266,201009,9788522005239,10,17.52,8.50,19.50,2
16267,201009,9788520924099,14,20.00,39.90,29.57,3
16268,201009,9788520924099,14,20.00,39.90,29.57,3
16269,201009,9788520917671,3,19.90,31.92,26.33,3
16270,201009,9788506061138,3,19.90,31.92,26.33,4
16271,201009,9788506061138,3,19.90,31.92,26.33,4
16272,201009,9788506061138,3,19.90,31.92,26.33,4
16273,201009,9788506061138,3,19.90,31.92,26.33,4
16274,201009,9788502098305,22,23.00,91.90,46.45,4
16275,201009,8501089818,17,18.00,39.90,28.35,4
16276,201010,9788599818084,15,43.40,70.90,51.67,4
16277,201010,9788599296851,18,29.00,70.90,52.06,4
16278,201010,9788599296851,18,29.00,70.90,52.06,1
16279,201010,9788599296554,22,12.00,59.90,44.36,1
16280,201010,9788599296363,24,10.00,9.90,31.63,1
16281,201010,9788599296363,24,10.00,9.90,31.63,1
16282,201010,9788598078946,24,10.00,9.90,31.63,1
16283,201010,9788598078939,24,10.00,9.90,31.63,1
16284,201010,9788598078588,4,10.98,18.90,16.00,1
16285,201010,9788598078465,19,35.60,56.90,42.53,1
16286,201010,9788598078397,19,35.60,56.90,42.53,1
16287,201010,9788598078397,19,35.60,56.90,42.53,4
16288,201010,9788598078397,1,30.00,30.00,30.00,4
16289,201010,9788598078397,1,30.00,30.00,30.00,4
16290,201010,9788579271076,17,25.39,9.90,27.12,4
16291,201010,9788578310431,1,14.90,14.90,14.00,4
16292,201010,9788576860761,21,13.50,64.90,44.90,4
16293,201010,9788576844778,8,18.18,9.90,13.88,4
16294,201010,9788576840626,18,47.90,60.29,54.72,4
16295,201010,9788576832294,22,19.90,52.90,35.77,4
16296,201010,9788576831952,20,19.90,46.90,31.90,4
16297,201010,9788576831303,21,19.90,52.90,34.24,4
16298,201010,9788576767602,24,10.90,9.90,25.42,4
16299,201010,9788576766308,20,36.00,52.90,42.90,4
16300,201010,9788576761730,18,23.60,7.00,26.00,4
16301,201010,9788576654636,24,19.74,37.90,27.92,4
16302,201010,9788576653202,10,17.90,47.90,32.10,4
16303,201010,9788576653202,10,17.90,47.90,32.10,3
16304,201010,9788575425114,10,17.90,47.90,32.10,3
16305,201010,9788575424889,10,17.90,47.90,32.10,2
16306,201010,9788575424889,10,17.90,47.90,32.10,2
16307,201010,9788575424889,1,9.70,9.70,9.00,2
16308,201010,9788575424889,1,9.70,9.70,9.00,2
16309,201010,9788575424889,1,9.70,9.70,9.00,2
16310,201010,9788575424889,1,9.70,9.70,9.00,2
16311,201010,9788575424162,22,15.92,39.90,30.45,2
16312,201010,9788575424100,2,10.00,29.00,19.50,2
16313,201010,9788575423929,8,34.93,59.90,50.25,2
16314,201010,9788575423387,19,39.42,56.90,43.95,2
16315,201010,9788575422397,20,23.62,43.90,31.75,2
16316,201010,9788575422106,20,23.62,43.90,31.75,2
16317,201010,9788575421826,21,25.00,46.90,36.10,2
16318,201010,9788575421024,22,14.90,43.90,30.05,2
16319,201010,9788575420270,23,22.40,78.49,36.30,2
16320,201010,9788573126525,1,19.90,19.90,19.00,2
16321,201010,9788573029161,1,19.90,19.90,19.00,2
16322,201010,9788573029161,1,19.90,19.90,19.00,2
16323,201010,9788573028928,1,19.90,19.90,19.00,3
16324,201010,9788573028928,1,19.90,19.90,19.00,3
16325,201010,9788573028928,1,19.90,19.90,19.00,3
16326,201010,9788573028928,1,19.90,19.90,19.00,3
16327,201010,9788563219145,2,20.90,44.90,32.00,3
16328,201010,9788563219077,2,19.90,9.90,14.00,3
16329,201010,9788563219077,2,19.90,9.90,14.00,1
16330,201010,9788563219022,2,19.90,9.90,14.00,1
16331,201010,9788563219022,2,19.90,9.90,14.00,1
16332,201010,9788563066138,2,19.90,9.90,14.00,1
16333,201010,9788562936173,1,199.99,199.99,199.00,1
16334,201010,9788562936067,11,22.90,9.90,32.00,1
16335,201010,9788560303731,11,22.90,9.90,32.00,1
16336,201010,9788560018000,22,18.50,59.92,35.50,1
16337,201010,9788560018000,24,18.50,59.92,36.67,1
16338,201010,9788539001125,9,20.00,6.99,21.22,1
16339,201010,9788539000760,20,19.90,51.90,31.90,3
